
mutation {
  achievedDescription: "Unglaublich! Du hast an 50 Gruppenkursterminen teilgenommen und gemeinsam mit den anderen Kursteilnehmer:innen viel gelernt. Du hast es dir verdient, dich einmal gedanklich auf einer Luftmatratze treiben zu lassen, so wie Loki auf dem Bild. Danach kannst du dich mit neuer Energie auf die Fortsetzung deiner Lernreise begeben. Auf zum nächsten Lern-Abenteuer!",
  image: "gamification/achievements/release/x_group_lectures_held/fifty_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 49",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":50}}",
})
      

pupil_course_participation_1: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "pupil_course_participation",
  groupOrder: 1,
  sequentialStepName: "Zum Kurs anmelden",
  type: "SEQUENTIAL",
  title: "Kurs erfolgreich beendet",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "This is not in use",
  description: "This is not in use",
  achievedDescription: null,
  image: "course-image",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_joined > 0",
  conditionDataAggregations: "{\"pupil_course_joined\":{\"metric\":\"pupil_course_joined\",\"aggregator\":\"count\"}}",
})
      

pupil_course_participation_2: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "pupil_course_participation",
  groupOrder: 2,
  sequentialStepName: "Alle Kurs-Termine abschließen",
  type: "SEQUENTIAL",
  title: "Kurs erfolgreich beendet",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "Wow! Du hast den Kurs abgeschlossen.",
  description: "Um diesen Erfolg zu erhalten, sei bei allen Terminen des Kurses {{course.name}} dabei. Die kontinuierliche Teilnahme ermöglicht dir nicht nur, das Beste aus dem Kurs herauszuholen, sondern stärkt auch deine Lernfortschritte und das Verständnis der Kursinhalte. Du bist auf dem richtigen Weg, bleib dran!",
  achievedDescription: "Herzlichen Glückwunsch zum erfolgreichen Abschluss des letzten Termins des Kurses {{course.name}}! Wir hoffen, dir hat der Kurs viel Freude bereitet und dass du etwas mitnehmen konntest. Dein Feedback ist uns sehr wichtig – wir freuen uns darauf, von deinen Erfahrungen zu hören! ",
  image: "course-image",
  achievedImage: null,
  actionName: "Zu den Terminen",
  actionRedirectLink: "/single-course/{{subcourse.id}}",
  actionType: "Appointment",
  condition: "pupil_conducted_subcourse_appointment > 0",
  conditionDataAggregations: "{\"pupil_conducted_subcourse_appointment\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"at_least_one_event_per_bucket\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

pupil_match_regular_learning_1: achievementTemplateCreate(data:{
  templateFor: "Match",
  group: "pupil_match_regular_learning",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Rhythmus-Rekord",
  tagline: "Nachhilfe mit {{partner.firstname}}",
  subtitle: "Du hast {{progress}} Woche(n) in Folge mit {{partner.firstname}} gelernt!",
  footer: "Noch {{remainingProgress}} Woche(n) in Folge lernen bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Um diese Serie aufrechtzuerhalten, setze deine gemeinsamen Lernsessions mit {{partner.firstname}} weiter fort. Regelmäßiges Lernen bringt eine Fülle an Vorteilen mit sich, von verbessertem Wissen und Verständnis bis hin zu gesteigerter Effizienz und Selbstvertrauen. Ihr seid definitiv auf dem richtigen Weg, um eure Ziele zu erreichen!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/regular_learning_set.png",
  achievedImage: "gamification/achievements/release/streaks/regular_learning_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_learning_events > recordValue",
  conditionDataAggregations: "{\"pupil_match_learning_events\":{\"metric\":\"pupil_match_learned_regular\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_weeks\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

pupil_appointment_reliability_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "pupil_appointment_reliability",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Pünktlichkeits-Power",
  tagline: "Zur richtigen Uhrzeit",
  subtitle: "Du warst {{progress}} Termine(n) in Folge pünktlich!",
  footer: "Noch {{remainingProgress}} mal pünktlich sein bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Halte diesen tollen Trend aufrecht und baue ihn weiter aus. Jedes Mal, wenn du innerhalb der ersten 5 Minuten zum Termin erscheinst, steigt deine Erfolgsstreak. Mit deiner Pünktlichkeit wie ein Uhrwerk bist du auf dem besten Weg zum:r Pünktlichkeits-Meister:in. Weiter so, du bist auf dem richtigen Kurs!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/punctuality_set.png",
  achievedImage: "gamification/achievements/release/streaks/punctuality_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_participated_in_meeting > recordValue",
  conditionDataAggregations: "{\"pupil_participated_in_meeting\":{\"metric\":\"pupil_participated_in_meeting\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_lecture_start\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

pupil_regular_learning_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "pupil_regular_learning",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Login-Legende",
  tagline: "User-Bereich",
  subtitle: "Du hast dich {{progress}} Monat(e) in Folge angemeldet!",
  footer: "Noch {{remainingProgress}} Monat(e) mit Login bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Bleib dran und melde dich weiterhin jeden Monat auf unserer Plattform an, um deinen Streak zu verlängern. Regelmäßige Aktivität hilft dir dabei immer auf dem neuesten Stand zu bleiben. Du bist auf dem richtigen Weg – mach weiter so, du Anmelde-Champion!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/member_set.png",
  achievedImage: "gamification/achievements/release/streaks/member_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_regular_learning > recordValue",
  conditionDataAggregations: "{\"pupil_regular_learning\":{\"metric\":\"pupil_regular_learning\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_months\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

user_original_corona_school_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "user_original_corona_school",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "Corona School Original",
  tagline: "Von Anfang an",
  subtitle: null,
  footer: "Du hast den Erfolg abgeschlossen!",
  achievedFooter: null,
  description: "Du bist ein wahrer Pionier in unserer Lern-Community. Du warst schon Teil von Lern-Fair als es noch den Namen Corona School hatte. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht, und wir sind unglaublich stolz darauf, dich an unserer Seite zu wissen. Bleib dran, denn der Weg, den wir gemeinsam gehen, ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen, wachsen und triumphieren. Auf zu neuen Höhen!",
  achievedDescription: "Du bist ein wahrer Pionier in unserer Lern-Community. Du warst schon Teil von Lern-Fair als es noch den Namen Corona School hatte. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht, und wir sind unglaublich stolz darauf, dich an unserer Seite zu wissen. Bleib dran, denn der Weg, den wir gemeinsam gehen, ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen, wachsen und triumphieren. Auf zu neuen Höhen!",
  image: "gamification/achievements/release/original/corona_school_original.svg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "user_original_corona_school > 0",
  conditionDataAggregations: "{\"user_original_corona_school\":{\"metric\":\"user_original_corona_school\",\"aggregator\":\"count\",\"valueToAchieve\":0}}",
})
      

user_original_lern_fair_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "user_original_lern_fair",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "Loki Original",
  tagline: "Von Anfang an",
  subtitle: null,
  footer: "Du hast den Erfolg abgeschlossen!",
  achievedFooter: null,
  description: "Du bist ein wahrer Pionier in unserer Lern-Community. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht, und wir sind unglaublich stolz darauf, dich an unserer Seite zu wissen. Bleib dran, denn der Weg, den wir gemeinsam gehen, ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen, wachsen und triumphieren. Auf zu neuen Höhen!",
  achievedDescription: "Du bist ein wahrer Pionier in unserer Lern-Community. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht, und wir sind unglaublich stolz darauf, dich an unserer Seite zu wissen. Bleib dran, denn der Weg, den wir gemeinsam gehen, ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen, wachsen und triumphieren. Auf zu neuen Höhen!",
  image: "gamification/achievements/release/original/lern_fair_original.svg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "user_original_lern_fair > 0",
  conditionDataAggregations: "{\"user_original_lern_fair\":{\"metric\":\"user_original_lern_fair\",\"aggregator\":\"count\",\"valueToAchieve\":0}}",
})
      
}
  
